Senaryo;SpinNo;Bahis;BakiyeOnce;BakiyeSonra;Odenen;Cluster;Tumble;CarpanDeger;CarpanKaynak;Bonus;BonusOdenen;ArdKayipOnce;Kacis;Kategori;SpinTipi;SureMs;ClusterDetay
"0. Normal Oyun";531;100;100650;100800;250;4;4;0;-;False;0;0;False;BigWin;Normal;0;"S0x8=20TL | S1x8=30TL | S3x8=50TL | S1x8=150TL"
"0. Normal Oyun";532;100;100800;100750;50;1;1;0;-;False;0;0;False;Normal;Normal;0;"S0x10=50TL"
"0. Normal Oyun";533;100;100750;100650;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";534;100;100650;100640;90;2;2;0;-;False;0;0;False;Normal;Normal;0;"S4x8=60TL | S4x8=30TL"
"0. Normal Oyun";535;100;100640;100570;30;1;1;0;-;False;0;0;False;Normal;Normal;0;"S1x9=30TL"
"0. Normal Oyun";536;100;100570;100470;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";537;100;100470;100370;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";538;100;100370;100270;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";539;100;100270;101570;1400;2;2;10;DOGAL;False;0;0;False;MegaWin;Normal;0;"S2x8=40TL | S1x8=30TL"
"0. Normal Oyun";540;100;101570;101470;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";541;100;101470;101370;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";542;100;101370;101320;50;1;1;0;-;False;0;0;False;Normal;Normal;0;"S3x8=50TL"
"0. Normal Oyun";543;100;101320;101220;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";544;100;101220;101170;50;1;1;0;-;False;0;0;False;Normal;Normal;0;"S3x8=50TL"
"0. Normal Oyun";545;100;101170;101090;20;1;1;0;-;False;0;0;False;Normal;Normal;0;"S0x9=20TL"
"0. Normal Oyun";546;100;101090;100990;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
